"Outcome (or Indicator)","Group","Percentage","Confidence Interval","Title","Description","Year"
"Ever having asthma","High school diploma or GED","12.3","10.4,14.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Some college","12.2","10.7,13.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","College degree or higher","8.4","7.5 ,9.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Less than 100% FPL","14.5","12.2,17.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","100% to less than 200% FPL","10.8","9.2 ,12.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","200% and greater FPL","9.3","8.4 ,10.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Private","8.7","7.8 ,9.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Medicaid or other state programs","14","12.6,15.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Other government coverage","10.9","6.9 ,16.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Uninsured","5.1","3.0 ,8.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","With disability","19.5","16.5,22.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Without disability","10.6","9.8 ,11.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Large MSA","11","10.0,12.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Small MSA","9.9","8.7 ,11.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Not in MSA","9.9","7.9 ,12.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Northeast","11.3","9.6 ,13.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Midwest","10.8","9.1 ,12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","South","10.8","9.6 ,12.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","West","9.4","8.0 ,10.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Large central metro","11.1","9.7 ,12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Large fringe metro","11.1","9.6 ,12.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Medium and small metro","9.8","8.6 ,11.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Nonmetropolitan","9.9","7.9 ,12.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Little to no social vulnerability","9.3","7.8 ,11.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Low social vulnerability","9.9","8.6 ,11.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Medium social vulnerability","9.7","8.5 ,11.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","High social vulnerability","13.3","11.5,15.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","With functioning difficulty","16","14.5, 17.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Ever having asthma","Without functioning difficulty","8.7","7.7,  9.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2019"
"Current asthma","Total","7","6.4 ,7.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Male","8.4","7.4 ,9.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Female","5.5","4.8 ,6.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","0-4 years","2.6","1.9 ,3.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","5-11 years","8.3","7.2 ,9.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","12-17 years","8.9","7.8 ,10.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","White only","5.9","5.2 ,6.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Black only","13.5","11.1,16.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","American Indian or Alaska Native only","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Asian only","4.2","2.4 ,6.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Black and White","10.9","6.8 ,16.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","American Indian and Alaska Native and White","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Hispanic","6.7","5.6 ,8.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Non-Hispanic","7.1","6.4 ,7.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Mexican or Mexican American","5","3.8 ,6.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","White only, non-Hispanic","5.7","5.0 ,6.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Black only, non-Hispanic","13.5","11.0,16.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Other race, non-Hispanic","6","4.4 ,8.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Single parent, never married","12.4","9.8 ,15.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Single parent, ever married","10.9","8.8 ,13.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Married parents","5.6","4.9 ,6.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Cohabiting parents","4.3","2.6 ,6.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","At least one related or unrelated adult (not a parent)","6.6","4.3 ,9.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","No working parents","12.4","9.7 ,15.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Single parent, working","9.4","7.9 ,11.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Two parents, one working","6.4","5.1 ,8.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Two parents, both working","4.9","4.2 ,5.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Less than high school diploma","8.7","6.2 ,11.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","High school diploma or GED","8.3","6.8 ,10.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Some college","7.9","6.6 ,9.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","College degree or higher","5.6","4.8 ,6.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Less than 100% FPL","10.5","8.5 ,12.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","100% to less than 200% FPL","7.2","5.9 ,8.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","200% and greater FPL","5.9","5.2 ,6.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Private","5.2","4.5 ,6.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Medicaid or other state programs","10.2","8.9 ,11.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Other government coverage","7.7","4.1 ,12.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Uninsured","2.5","1.1 ,4.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","With disability","14.1","11.4,17.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Without disability","6.9","6.2 ,7.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Large MSA","7.7","6.8 ,8.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Small MSA","6.4","5.4 ,7.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Not in MSA","5.7","4.2 ,7.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Northeast","7.4","6.0 ,9.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Midwest","7.3","5.9 ,9.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","South","7.1","6.1 ,8.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","West","6.2","5.0 ,7.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Large central metro","7.5","6.2 ,8.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Large fringe metro","8","6.7 ,9.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Medium and small metro","6.3","5.3 ,7.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Nonmetropolitan","5.7","4.2 ,7.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Little to no social vulnerability","6.6","5.3 ,8.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Low social vulnerability","6.2","5.1 ,7.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Medium social vulnerability","6.5","5.5 ,7.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","High social vulnerability","8.9","7.4 ,10.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","With functioning difficulty","10.5","9.3, 11.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Current asthma","Without functioning difficulty","5.7","4.9,  6.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2019"
"Ever having attention-deficit/hyperactivity disorder","Total","8.8","8.0 ,9.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Male","11.7","10.6,13.0","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Female","5.7","4.9 ,6.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","3-4 years","1","0.5 ,2.0","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","5-11 years","8.1","6.9 ,9.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","12-17 years","12","10.8,13.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
